source_id,target_id,source_names,target_names
477:0,3841:0,tuff,Tuff
493:0,2789:0,sandstone,sandStone
1800:0,2025:0,stone_block_0,stone_block_0
1801:0,2029:0,stone_block_1,stone_block_1
1802:0,2071:0,stone_block_2,stone_block_2
1803:0,2126:0,stone_block_3,stone_block_3
1804:0,2157:0,stone_block_4,stone_block_4
1805:0,2184:0,stone_block_5,stone_block_5
1810:0,2043:0,stone_block_1_stair_0,stone_block_1_stair_0
1811:0,2044:0,stone_block_1_stair_1,stone_block_1_stair_1
1812:0,2049:0,stone_block_1_stair_2,stone_block_1_stair_2
1813:0,2050:0,stone_block_1_stair_3,stone_block_1_stair_3
1814:0,2051:0,stone_block_1_stair_4,stone_block_1_stair_4
1816:0,2129:0,stone_block_3_stair_0,stone_block_3_stair_0
1817:0,2130:0,stone_block_3_stair_1,stone_block_3_stair_1
1818:0,2135:0,stone_block_3_stair_2,stone_block_3_stair_2
1819:0,2147:0,stone_block_3_stair_3,stone_block_3_stair_3
1820:0,2151:0,stone_block_3_stair_4,stone_block_3_stair_4
1821:0,2152:0,stone_block_3_stair_5,stone_block_3_stair_5
1822:0,2153:0,stone_block_3_stair_6,stone_block_3_stair_6
1829:0,2159:0,stone_block_4_stair_0,stone_block_4_stair_0
1830:0,2165:0,stone_block_4_stair_1,stone_block_4_stair_1
1831:0,2169:0,stone_block_4_stair_2,stone_block_4_stair_2
1832:0,2198:0,stone_block_4_stair_3,stone_block_4_stair_3
1833:0,2181:0,stone_block_5_stair_0,stone_block_5_stair_0
1834:0,2199:0,stone_block_5_stair_1,stone_block_5_stair_1
1835:0,2200:0,stone_block_5_stair_2,stone_block_5_stair_2
1843:0,2075:0,stone_slab_stair_0,stone_slab_stair_0
1844:0,2041:0,stone_slab_block_0,stone_slab_block_0
1845:0,2045:0,stone_slab_block_1,stone_slab_block_1
1846:0,2127:0,stone_slab_block_2,stone_slab_block_2
1847:0,2163:0,stone_slab_block_3,stone_slab_block_3
1851:0,2047:0,random_slab_block_0,random_slab_block_0
1852:0,2078:0,random_slab_block_1,random_slab_block_1
1853:0,2176:0,random_slab_block_2,random_slab_block_2
1854:0,2178:0,random_slab_block_3,random_slab_block_3
1856:0,2010:0,stone_wall_block_0,stone_wall_block_0
1857:0,2120:0,stone_wall_block_1,stone_wall_block_1
1858:0,2150:0,stone_wall_block_2,stone_wall_block_2
1860:0,2015:0,sandstone_block_0_stair_0,sandstone_block_0_stair_0
1861:0,2035:0,sandstone_block_0_stair_1,sandstone_block_0_stair_1
1862:0,2036:0,sandstone_block_0_stair_2,sandstone_block_0_stair_2
1863:0,2037:0,sandstone_block_0_stair_3,sandstone_block_0_stair_3
1864:0,2038:0,sandstone_block_0_stair_4,sandstone_block_0_stair_4
1865:0,2039:0,sandstone_block_0_stair_5,sandstone_block_0_stair_5
1866:0,2040:0,sandstone_block_0_stair_8,sandstone_block_0_stair_8
1867:0,2012:0,sand_block_0,sand_block_0
1868:0,2021:0,sand_layer_0,sand_layer_0
1869:0,2141:0,sand_layer_1,sand_layer_1
1870:0,2142:0,sand_layer_2,sand_layer_2
1871:0,2143:0,sand_layer_3,sand_layer_3
1897:0,2004:0,log_block_0,log_block_0
1898:0,2027:0,log_block_1,log_block_1
1899:0,2058:0,log_block_2,log_block_2
1900:0,2076:0,log_block_3,log_block_3
1901:0,2093:0,log_block_4,log_block_4
1902:0,2148:0,log_block_5,log_block_5
1905:0,2022:0,thin_log_0,thin_log_0
1906:0,2030:0,wood_colours,wood_colours
1909:0,2115:0,wood_slab_block_0,wood_slab_block_0
1910:0,2114:0,northern_wood_stairs,northern_wood_stairs
1913:0,2016:0,leaves_block_0,leaves_block_0
1914:0,2017:0,leaves_block_1,leaves_block_1
1915:0,2077:0,leaves_block_2,leaves_block_2
1916:0,2221:0,leaves_block_3,leaves_block_3
1917:0,1295:0,leaves_block_4,leaves_block_4
1918:0,2000:0,metal_block_0,metal_block_0
1919:0,2008:0,metal_slab_block_0,metal_slab_block_0
1922:0,2003:0,metal_block_0_stair_1,metal_block_0_stair_1
1923:0,2107:0,metal_block_0_stair_2,metal_block_0_stair_2
1924:0,2108:0,metal_block_0_stair_3,metal_block_0_stair_3
1925:0,2109:0,metal_block_0_stair_4,metal_block_0_stair_4
1926:0,2110:0,metal_block_0_stair_5,metal_block_0_stair_5
1927:0,2111:0,metal_block_0_stair_6,metal_block_0_stair_6; stone_block_4_stair_4
1928:0,2112:0,metal_block_0_stair_7,metal_block_0_stair_7
1929:0,2190:0,metal_block_0_stair_8,metal_block_0_stair_8
1930:0,2011:0,bars_iron_block_0,bars_iron_block_0
1931:0,2013:0,cuboid_block_0,cuboid_block_0
1932:0,2064:0,cuboid_block_1,cuboid_block_1
1933:0,2065:0,cuboid_block_2,cuboid_block_2
1934:0,2066:0,cuboid_block_3,cuboid_block_3
1935:0,2161:0,cuboid_block_4,cuboid_block_4; stone_cuboid_block_0
1936:0,2180:0,cuboid_block_5,cuboid_block_5
1942:0,2069:0,cuboid_nsewud_block_0,cuboid_nsewud_block_0; piston_block_0
1943:0,2122:0,cuboid_nsewud_block_1,cuboid_nsewud_block_1; piston_block_1
1944:0,2166:0,cuboid_nsewud_block_2,cuboid_nsewud_block_2
1947:0,2033:0,solid_blocks_0,solid_blocks_0
1948:0,2149:0,solid_blocks_1,solid_blocks_1
1949:0,2026:0,six_sided_blocks_0,six_sided_blocks_0
1950:0,2034:0,soulsand_like_blocks_0,soulsand_like_blocks_0
1951:0,2009:0,fence_block_0,fence_block_0
1952:0,2052:0,fence_block_1,fence_block_1
1953:0,2131:0,fence_block_2,fence_block_2
1956:0,2140:0,door_spruce,door_spruce
1957:0,2170:0,door_weirwood,door_weirwood
1963:0,2191:0,door_secret_sandstone_red,door_secret_sandstone_red
