source_id,target_id,source_names,target_names
490:0,2280:0,Copper Ore,copper_ore
491:0,2281:0,Copper Block,copper_block
492:0,2288:0,Tin Ore,tin_ore
493:0,2289:0,Tin Block,tin_block
560:0,2294:0,Fyrite Ore,fyrite_ore
561:0,2295:0,Fyrite Block,fyrite_block
562:0,2296:0,Malachite Ore,malachite_ore
563:0,2297:0,Malachite Block,malachite_block
564:0,2300:0,Ashstone Ore,ashstone_ore
565:0,2301:0,Ashstone Block,ashstone_block
566:0,2290:0,Illumenite Ore,illumenite_ore
567:0,2291:0,Illumenite Block,illumenite_block
568:0,2298:0,Dragonstone Ore,dragonstone_ore
569:0,2299:0,Dragonstone Block,dragonstone_block
570:0,2292:0,Argonite Ore,argonite_ore
571:0,2293:0,Argonite Block,argonite_block
1295:0,1917:0,leaves_block_4,leaves_block_4
1622:0,3801:0,Pot,pot
2000:0,1918:0,metal_block_0,metal_block_0
2003:0,1922:0,metal_block_0_stair_1,metal_block_0_stair_1
2004:0,1897:0,log_block_0,log_block_0
2005:0,2019:0,yellow_flower_block_0,yellow_flower_block_0
2006:0,2020:0,yellow_flower_block_1,yellow_flower_block_1
2008:0,1919:0,metal_slab_block_0,metal_slab_block_0
2009:0,1951:0,fence_block_0,fence_block_0
2010:0,1856:0,stone_wall_block_0,stone_wall_block_0
2011:0,1930:0,bars_iron_block_0,bars_iron_block_0
2012:0,1867:0,sand_block_0,sand_block_0
2013:0,1931:0,cuboid_block_0,cuboid_block_0
2014:0,2064:0,torch_block_0,torch_block_0
2015:0,1860:0,sandstone_block_0_stair_0,sandstone_block_0_stair_0
2016:0,1913:0,leaves_block_0,leaves_block_0
2017:0,1914:0,leaves_block_1,leaves_block_1
2018:0,2047:0,crate_block_0,crate_block_0
2019:0,1973:0,ladder_block_0,ladder_block_0
2021:0,1868:0,sand_layer_0,sand_layer_0
2022:0,1905:0,thin_log_0,thin_log_0
2023:0,2068:0,bench_block_0,bench_block_0
2024:0,2069:0,arrow_slits; arrow_slits_0,arrow_slits_0
2025:0,1800:0,stone_block_0,stone_block_0
2026:0,1949:0,six_sided_blocks_0,six_sided_blocks_0
2027:0,1898:0,log_block_1,log_block_1
2028:0,2067:0,bookshelves_block_0,bookshelves_block_0
2029:0,1801:0,stone_block_1,stone_block_1
2030:0,1906:0,wood_colours,wood_colours
2031:0,2073:0,daub_wattle_block_0,daub_wattle_block_0
2032:0,2065:0,light_emitting_blocks_0,light_emitting_blocks_0
2033:0,1947:0,solid_blocks_0,solid_blocks_0
2034:0,1950:0,soulsand_like_blocks_0,soulsand_like_blocks_0
2035:0,1861:0,sandstone_block_0_stair_1,sandstone_block_0_stair_1
2036:0,1862:0,sandstone_block_0_stair_2,sandstone_block_0_stair_2
2037:0,1863:0,sandstone_block_0_stair_3,sandstone_block_0_stair_3
2038:0,1864:0,sandstone_block_0_stair_4,sandstone_block_0_stair_4
2039:0,1865:0,sandstone_block_0_stair_5,sandstone_block_0_stair_5
2040:0,1866:0,sandstone_block_0_stair_8,sandstone_block_0_stair_8
2041:0,1844:0,stone_slab_block_0,stone_slab_block_0
2043:0,1810:0,stone_block_1_stair_0,stone_block_1_stair_0
2044:0,1811:0,stone_block_1_stair_1,stone_block_1_stair_1
2045:0,1845:0,stone_slab_block_1,stone_slab_block_1
2047:0,1851:0,random_slab_block_0,random_slab_block_0
2049:0,1812:0,stone_block_1_stair_2,stone_block_1_stair_2
2050:0,1813:0,stone_block_1_stair_3,stone_block_1_stair_3
2051:0,1814:0,stone_block_1_stair_4,stone_block_1_stair_4
2052:0,1952:0,fence_block_1,fence_block_1
2053:0,2050:0,web_block_0,web_block_0
2055:0,1965:0,halfdoor_block_0,halfdoor_block_0
2056:0,1966:0,halfdoor_block_1,halfdoor_block_1
2057:0,2055:0,glasspane_net,glasspane_net
2058:0,1899:0,log_block_2,log_block_2
2059:0,2021:0,red_flower_block_0,red_flower_block_0
2060:0,2022:0,red_flower_block_1,red_flower_block_1
2061:0,2023:0,brown_mushroom_block_0,brown_mushroom_block_0
2062:0,2024:0,red_mushroom_block_0,red_mushroom_block_0
2063:0,2028:0,unshaded_grass_block_0,unshaded_grass_block_0
2064:0,1932:0,cuboid_block_1,cuboid_block_1
2065:0,1933:0,cuboid_block_2,cuboid_block_2
2066:0,1934:0,cuboid_block_3,cuboid_block_3
2067:0,2037:0,hopper_block_0,hopper_block_0
2068:0,2038:0,hopper_block_1,hopper_block_1
2069:0,1942:0,cuboid_nsewud_block_0; piston_block_0,cuboid_nsewud_block_0
2070:0,1984:0,banner_block_0,banner_block_0
2071:0,1802:0,stone_block_2,stone_block_2
2072:0,2098:0,sound_blocks_0,sound_blocks_0
2073:0,2075:0,thatch_stair_0,thatch_stair_0
2074:0,2076:0,thatch_stair_1,thatch_stair_1
2075:0,1843:0,stone_slab_stair_0,stone_slab_stair_0
2076:0,1900:0,log_block_3,log_block_3
2077:0,1915:0,leaves_block_2,leaves_block_2
2078:0,1852:0,random_slab_block_1,random_slab_block_1
2080:0,2043:0,rail_block_0,rail_block_0
2081:0,1975:0,bed_block_0,bed_block_0
2082:0,1976:0,bed_block_1,bed_block_1
2083:0,1977:0,bed_block_2,bed_block_2
2084:0,1978:0,bed_block_3,bed_block_3
2085:0,1979:0,bed_block_4,bed_block_4
2086:0,1980:0,bed_block_5,bed_block_5
2087:0,1981:0,bed_block_6,bed_block_6
2088:0,1982:0,bed_block_7,bed_block_7
2089:0,1983:0,bed_block_8,bed_block_8
2090:0,1967:0,halfdoor_block_2,halfdoor_block_2
